Elevation,Slope,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,W_A_1,W_A_2,W_A_3,W_A_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_12,Soil_Type_13,Soil_Type_14,Soil_Type_17,Soil_Type_18,Soil_Type_19,Soil_Type_20,Soil_Type_21,Soil_Type_22,Soil_Type_23,Soil_Type_24,Soil_Type_26,Soil_Type_29,Soil_Type_30,Soil_Type_31,Soil_Type_32,Soil_Type_33,Soil_Type_34,Soil_Type_35,Soil_Type_37,Soil_Type_38,Soil_Type_39,Soil_Type_40,Cover_Type(Class)
31236,0.5491967871485942,0.5862068965517241,0.0436046511627907,0.15922935259951834,0.22976207236378995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
46290,0.5180722891566264,0.3103448275862069,0.3386627906976744,0.06034849128771781,0.07081514852879063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56455,0.6435742971887549,0.13793103448275862,0.19622093023255813,0.2073948151296217,0.3169083485851049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11641,0.5833333333333331,0.2413793103448276,0.24345930232558136,0.8064881711290551,0.2791778121920315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55449,0.6882530120481928,0.1724137931034483,0.5385174418604651,0.1572460688482788,0.2938195128818809,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5399,0.6134538152610441,0.2413793103448276,0.21438953488372087,0.0650233744156396,0.2634098268337322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51359,0.6189759036144576,0.1724137931034483,0.02180232558139535,0.3299334183312084,0.184710685625792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39437,0.590863453815261,0.10344827586206896,0.0436046511627907,0.4407139821504462,0.20287202590454734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46547,0.6149598393574297,0.10344827586206896,0.3277616279069767,0.30925060206828164,0.369421371251584,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23560,0.6089357429718875,0.2241379310344828,0.3052325581395349,0.14520470321575293,0.2531324792341265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23033,0.6490963855421686,0.3448275862068966,0.09738372093023256,0.6612834679133022,0.4427706602843868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2834,0.6887550200803211,0.10344827586206896,0.0,0.8627284317892052,0.05406166408559763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23489,0.6762048192771083,0.15517241379310345,0.17587209302325582,0.09958917693724324,0.11952696043925105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9017,0.7108433734939757,0.1724137931034483,0.3270348837209302,0.05326533503329083,0.21258623116992825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35142,0.6490963855421686,0.08620689655172414,0.0,0.7243235585777023,0.1475432915669435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31011,0.7183734939759036,0.08620689655172414,0.02180232558139535,0.09094772630684232,0.12107560185836976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50346,0.7625502008032127,0.10344827586206896,0.3859011627906977,0.1274968125796855,0.10446290299873293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2302,0.4794176706827308,0.4655172413793103,0.1380813953488372,0.41025641025641024,0.4029283401379699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
697,0.6887550200803211,0.3448275862068966,0.21438953488372087,0.5775605609859753,0.21723215542728425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4052,0.7695783132530122,0.25862068965517243,0.595203488372093,0.14024649383765406,0.10389976066450796,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42013,0.6802208835341365,0.27586206896551724,0.12354651162790695,0.1935118288709449,0.3533718147261725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33156,0.6144578313253012,0.3448275862068966,0.06177325581395349,0.4762714265476696,0.4153174714909193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22461,0.5351405622489959,0.27586206896551724,0.1744186046511628,0.04802379940501488,0.13219766295931293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27193,0.4949799196787147,0.1896551724137931,0.04869186046511628,0.4384473721490296,0.34379839504434745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2995,0.6084337349397589,0.05172413793103448,0.0,0.2806346508003966,0.17527805152752354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15227,0.5331325301204818,0.29310344827586204,0.11119186046511627,0.531236719082023,0.36984372800225257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37340,0.5863453815261043,0.27586206896551724,0.30959302325581395,0.6598668366624167,0.5169646628185275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22777,0.519578313253012,0.25862068965517243,0.0872093023255814,0.3384332058365208,0.041531747149091934,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18030,0.6571285140562247,0.206896551724138,0.2274709302325581,0.14123813571327384,0.08785020413909614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42892,0.6852409638554217,0.12068965517241376,0.13953488372093026,0.5405864853378666,0.5176685907363087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
52118,0.6987951807228915,0.4137931034482759,0.11119186046511627,0.26689332766680834,0.31873856117133603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54189,0.5537148594377509,0.10344827586206896,0.02180232558139535,0.7520895310950559,0.3124032099113052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52389,0.5853413654618472,0.13793103448275862,0.2485465116279069,0.6311092222694432,0.12262424327748846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5685,0.6746987951807227,0.25862068965517243,0.030523255813953487,0.7132738348207961,0.04561452907222301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35160,0.6957831325301204,0.25862068965517243,0.4760174418604651,0.35344949709590595,0.3637899479093341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3300,0.6345381526104418,0.12068965517241376,0.1380813953488372,0.7338149879586343,0.4368576657750247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55208,0.6385542168674697,0.06896551724137931,0.1947674418604651,0.18954526136846572,0.4493875827115305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54827,0.6179718875502006,0.3103448275862069,0.15261627906976746,0.08924776880577985,0.22483457693932146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49274,0.3368473895582328,0.03448275862068965,0.0436046511627907,0.10213911318883696,0.12473602703083204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6156,0.5818273092369478,0.27586206896551724,0.4941860465116279,0.19011191386881995,0.10221033366183303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24127,0.7228915662650602,0.25862068965517243,0.28343023255813954,0.24904377390565235,0.2245530057722089,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
47177,0.6616465863453814,0.206896551724138,0.0,0.3759739339849837,0.39293256370547663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52131,0.6275100401606425,0.10344827586206896,0.030523255813953487,0.05539028190961893,0.2957905110516683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29910,0.6862449799196787,0.206896551724138,0.3815406976744186,0.3228502620767814,0.17105448402083626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
53797,0.5481927710843372,0.2241379310344828,0.06177325581395349,0.6748831279218019,0.5758130367450375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35294,0.6862449799196787,0.3275862068965517,0.4825581395348837,0.2477688057798555,0.3971561312121639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3720,0.4467871485943774,0.10344827586206896,0.0872093023255814,0.1966284176228928,0.2981838659721245,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35225,0.6320281124497992,0.3275862068965517,0.0872093023255814,0.10653067006658166,0.23454878220470224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42912,0.4964859437751002,0.08620689655172414,0.0,0.1949284601218303,0.21512037167394066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35715,0.6260040160642569,0.3275862068965517,0.14607558139534885,0.5292534353307834,0.2901590877094186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56734,0.7404618473895582,0.1724137931034483,0.4193313953488372,0.48817112905510707,0.2190623680135155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15620,0.7238955823293173,0.4137931034482759,0.0436046511627907,0.33956651083722905,0.3958890609601577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2514,0.4889558232931727,0.206896551724138,0.12718023255813954,0.20059498512537186,0.4205265380825005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54555,0.4809236947791163,0.3275862068965517,0.0,0.10100580818812864,0.04308038856821062,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22529,0.6184738955823291,0.13793103448275862,0.09011627906976744,0.2976342258110214,0.4705054202449669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38466,0.5436746987951807,0.3620689655172414,0.0690406976744186,0.0696982575435614,0.05152752358158525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37816,0.6731927710843372,0.3620689655172414,0.3052325581395349,0.16177928885111206,0.27453188793467553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24034,0.6064257028112449,0.03448275862068965,0.23982558139534885,0.37937384898710863,0.9174996480360412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26907,0.6255020080321284,0.3793103448275862,0.1380813953488372,0.4927043490579402,0.21582429959172186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4833,0.6736947791164657,0.3965517241379311,0.21438953488372087,0.16602918260376825,0.2956497254681121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
39406,0.590863453815261,0.13793103448275862,0.04869186046511628,0.18869528261793456,0.22835421652822754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25177,0.5993975903614458,0.1724137931034483,0.11773255813953487,0.066440005666525,0.17189919752217372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41388,0.6224899598393573,0.2413793103448276,0.16569767441860464,0.2806346508003966,0.4754329156694355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36465,0.7675702811244979,0.15517241379310345,0.7194767441860465,0.154412806346508,0.2939602984654372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54855,0.5567269076305219,0.25862068965517243,0.04869186046511628,0.7458563535911602,0.3208503449246798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35181,0.6546184738955821,0.29310344827586204,0.20130813953488366,0.4088397790055249,0.1607771364212304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54226,0.6616465863453814,0.12068965517241376,0.10901162790697674,0.7159654341974784,0.3298606222722793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42154,0.6616465863453814,0.13793103448275862,0.1380813953488372,0.09689757756056099,0.18442911445867946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1395,0.5833333333333331,0.3103448275862069,0.030523255813953487,0.813288001133305,0.3594255948190905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34279,0.5537148594377509,0.1896551724137931,0.02180232558139535,0.6261510128913443,0.5223145149936648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13398,0.7620481927710842,0.1896551724137931,0.2623546511627907,0.29281767955801097,0.4113754751513445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30947,0.6375502008032127,0.3965517241379311,0.17587209302325582,0.1317467063323417,0.1607771364212304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5472,0.6822289156626505,0.2241379310344828,0.04869186046511628,0.15186287009491428,0.18175418837111088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55895,0.6124497991967871,0.29310344827586204,0.0436046511627907,0.396798413372999,0.292693228213431,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11599,0.5642570281124498,0.1896551724137931,0.030523255813953487,0.4677716390423573,0.14388286639448128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38242,0.6295180722891566,0.3275862068965517,0.5792151162790697,0.6143929735089956,0.5256933689990145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
44755,0.6746987951807227,0.25862068965517243,0.0,0.605043207253152,0.06433901168520345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56725,0.6797188755020079,0.08620689655172414,0.37354651162790703,0.7945884686216178,0.2928340137969872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13941,0.7254016064257026,0.2413793103448276,0.19767441860465115,0.4802379940501487,0.33267633394340423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22178,0.7068273092369476,0.206896551724138,0.15843023255813954,0.13231335883269585,0.24088413346473314,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11977,0.6490963855421686,0.206896551724138,0.0,0.3742739764839213,0.2441222018865269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11274,0.6726907630522087,0.1896551724137931,0.06177325581395349,0.4283892902677433,0.17415176685907366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31217,0.6064257028112449,0.2241379310344828,0.030523255813953487,0.20087831137554893,0.07194143319724064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50801,0.5983935742971888,0.2241379310344828,0.10901162790697674,0.1806204844878878,0.3943404195410394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15529,0.6325301204819277,0.15517241379310345,0.06177325581395349,0.3479246352174529,0.1830212586231172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
53796,0.6706827309236948,0.3103448275862069,0.5101744186046512,0.4836379090522737,0.15922849500211178,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46565,0.7595381526104418,0.1896551724137931,0.2623546511627907,0.16503754072814847,0.4220751795016191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51784,0.5582329317269076,0.1724137931034483,0.02180232558139535,0.08924776880577985,0.16429677601013656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21635,0.5798192771084337,0.2241379310344828,0.0436046511627907,0.2855928601784956,0.4854286921019289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43303,0.5045180722891566,0.1896551724137931,0.02180232558139535,0.3653491996033432,0.3195832746726735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36846,0.6872489959839357,0.4482758620689655,0.3175872093023256,0.12948009633092505,0.13191609179220048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18983,0.6305220883534136,0.206896551724138,0.16569767441860464,0.3486329508428956,0.10432211741517668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4303,0.4673694779116465,0.13793103448275862,0.02180232558139535,0.2881427964300892,0.2980430803885681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18328,0.6526104417670683,0.1724137931034483,0.0872093023255814,0.8937526561835953,0.1475432915669435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23553,0.6982931726907629,0.1896551724137931,0.4069767441860465,0.24904377390565235,0.36829508658313376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31008,0.7836345381526103,0.29310344827586204,0.1569767441860465,0.7131321716957076,0.1283964522032944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31103,0.6265060240963854,0.10344827586206896,0.04869186046511628,0.63918402039949,0.4665634239053921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
